movieId,title,genres,year,avg_rating,rating_count
1,Toy Story,Animation Children's Comedy,1995.0,3.88,452
2,GoldenEye,Action Adventure Thriller,1995.0,3.21,131
3,Four Rooms,Thriller,1995.0,3.03,90
4,Get Shorty,Action Comedy Drama,1995.0,3.55,209
5,Copycat,Crime Drama Thriller,1995.0,3.3,86
6,Shanghai Triad (Yao a yao yao dao waipo qiao),Drama,1995.0,3.58,26
7,Twelve Monkeys,Drama Sci-Fi,1995.0,3.8,392
8,Babe,Children's Comedy Drama,1995.0,4.0,219
9,Dead Man Walking,Drama,1995.0,3.9,299
10,Richard III,Drama War,1995.0,3.83,89
11,Seven (Se7en),Crime Thriller,1995.0,3.85,236
12,"Usual Suspects, The",Crime Thriller,1995.0,4.39,267
13,Mighty Aphrodite,Comedy,1995.0,3.42,184
14,"Postino, Il",Drama Romance,1994.0,3.97,183
15,Mr. Holland's Opus,Drama,1995.0,3.78,293
16,French Twist (Gazon maudit),Comedy Romance,1995.0,3.21,39
17,From Dusk Till Dawn,Action Comedy Crime Horror Thriller,1996.0,3.12,92
18,"White Balloon, The",Drama,1995.0,2.8,10
19,Antonia's Line,Drama,1995.0,3.96,69
20,Angels and Insects,Drama Romance,1995.0,3.42,72
21,Muppet Treasure Island,Action Adventure Comedy Musical Thriller,1996.0,2.76,84
22,Braveheart,Action Drama War,1995.0,4.15,297
23,Taxi Driver,Drama Thriller,1976.0,4.12,182
24,Rumble in the Bronx,Action Adventure Crime,1995.0,3.45,174
25,"Birdcage, The",Comedy,1996.0,3.44,293
26,"Brothers McMullen, The",Comedy,1995.0,3.45,73
27,Bad Boys,Action,1995.0,3.11,57
28,Apollo 13,Action Drama Thriller,1995.0,3.93,276
29,Batman Forever,Action Adventure Comedy Crime,1995.0,2.67,114
30,Belle de jour,Drama,1967.0,3.95,37
31,Crimson Tide,Drama Thriller War,1995.0,3.63,154
32,Crumb,Documentary,1994.0,3.79,81
33,Desperado,Action Romance Thriller,1995.0,3.45,97
34,"Doom Generation, The",Comedy Drama,1995.0,2.71,7
35,Free Willy 2: The Adventure Home,Adventure Children's Drama,1995.0,2.18,11
36,Mad Love,Drama Romance,1995.0,2.15,13
37,Nadja,Drama,1994.0,2.25,8
38,"Net, The",Sci-Fi Thriller,1995.0,3.01,120
39,Strange Days,Action Crime Sci-Fi,1995.0,3.26,87
40,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995.0,2.89,57
